record_number,latitude,longitude,geocoded_address
BA-202300323,33.75378767,-84.48195772,"2884 Martin L King Jr DR SW, Atlanta GA 30311"
BA-202302250,33.72319237,-84.47751185,"2720 Veltre TER SW, Atlanta GA 30311"
BA-202304015,33.75167257,-84.47281159,"2610 Martin L King Jr DR SW, Atlanta GA 30311"
BA-202305267,33.73674954,-84.39817384,"312 Ralph D Abernathy BLVD SW, Atlanta GA 30310"
BA-202305269,33.73666201,-84.39801146,"308 Ralph D Abernathy BLVD SW, Atlanta GA 30310"
BA-202306085,33.74085272,-84.43265305,"525 Langhorn ST SW, Atlanta GA 30310"
BA-202403141,33.7295179,-84.329137,"1001 Leah LN SE, Atlanta GA 30316"
BA-202403753,33.80638735,-84.37607776,"1900 Monroe DR NE, Atlanta GA 30324"
BA-202405064,33.84800458,-84.40764149,"655 West Paces Ferry RD NW, Atlanta GA 30327"
BA-202405292,33.75249711,-84.49286209,"3228 Martin L King Jr DR SW, Atlanta GA 30311"
BA-202405526,33.79871475,-84.35368832,"1615 Sussex RD NE, Atlanta GA 30306"
