record_number,paid,outstanding,scrape_status
BA-202506365,1080.0,0.0,success
BA-202506364,0.0,0.0,success
BA-202506357,4650.0,0.0,success
BA-202506355,2030.0,0.0,success
BA-202506344,4920.0,0.0,success
BA-202506329,0.0,0.0,success
BA-202506310,13620.0,0.0,success
BA-202506307,0.0,1440.0,success
BA-202506303,1610.0,0.0,success
BA-202506300,1340.0,0.0,success
BA-202506279,0.0,0.0,success
BA-202506269,1400.0,0.0,success
BA-202506268,0.0,0.0,success
BA-202506266,0.0,1460.0,success
BA-202506265,0.0,2520.0,success
BA-202506264,0.0,0.0,success
BA-202506258,0.0,0.0,success
BA-202506238,0.0,0.0,success
BA-202506226,1140.0,0.0,success
BA-202506185,2600.0,0.0,success
BA-202506183,0.0,1010.0,success
BA-202506179,8085.0,0.0,success
BA-202506163,0.0,12210.0,success
BA-202506146,0.0,3950.0,success
BA-202506127,0.0,3320.0,success
BA-202506100,19630.0,0.0,success
BA-202506065,0.0,0.0,success
BA-202505935,8110.0,0.0,success
BA-202505910,3220.0,0.0,success
BA-202505907,3760.0,0.0,success
BA-202505894,7100.0,0.0,success
BA-202505878,870.0,0.0,success
BA-202505854,4420.0,0.0,success
BA-202505811,4420.0,0.0,success
BA-202505808,0.0,10740.0,success
BA-202505792,1550.0,0.0,success
BA-202505782,4490.0,0.0,success
BA-202505778,0.0,0.0,success
BA-202505771,0.0,0.0,success
BA-202505745,1850.0,0.0,success
BA-202505711,0.0,1230.0,success
BA-202505681,2120.0,0.0,success
BA-202505655,2120.0,0.0,success
BA-202505612,0.0,2930.0,success
BA-202505610,0.0,4440.0,success
BA-202505587,3970.0,0.0,success
BA-202505584,1140.0,0.0,success
BA-202505580,1450.0,0.0,success
BA-202505556,1550.0,0.0,success
BA-202505534,3760.0,0.0,success
BA-202505519,3340.0,0.0,success
BA-202505514,0.0,0.0,success
BA-202505508,0.0,0.0,success
BA-202505495,4060.0,0.0,success
BA-202505485,0.0,1380.0,success
BA-202505453,0.0,1820.0,success
BA-202505450,780.0,0.0,success
BA-202505435,1080.0,0.0,success
BA-202505412,4170.0,0.0,success
BA-202505392,870.0,0.0,success
