Date,Record Number,Record Type,Address,Latitude,Longitude,Permit Name,Status,Description
12/31/2025,BA-202506365,Arborist Illegal Activity,"1111 BOULEVARD DR SE, ATLANTA GA 30312",33.75350036,-84.35066142,Illegal Removal ,Fine,Fine and fees for the illegal removal of one unknown DBH HW in the ROW at this address
12/31/2025,BA-202506364,Arborist Illegal Activity,"1248 OAKCREST DR SW, ATLANTA GA 30311",33.7232131,-84.491701,Illegal Removal,Fine,"Removal of the following 32 trees without permit: 11"" HW (T1), 11"" HW (T2), 16"" HW (T3), 35"" HW (T4), 10"" HW (T6), 11"" HW (T7), 15"" HW (T8), 10"" HW (T9), 14"" HW (T10), 22"" HW (T11), 10"" HW (T12), 27"" HW (T13), 12"" HW (T14), 11"" HW (T15), 11"" HW (T17), 19"" HW (T18), 18"" HW (T20), 17"" HW (T22), 24"" HW (T23), 22"" HW (T24), 17"" HW (T25), 12"" HW (T26), 10"" HW (T27), 18"" HW (T28), 17"" HW (T29), 21"" PN (T32), 17"" HW (T33), 19"" HW (T34), 15"" HW (T35), 23"" HW (T36), 14"" HW (T37), & 10"" HW (T38)."
12/30/2025,BA-202506357,Arborist Illegal Activity,"3108 STONEGATE DR SW, ATLANTA GA 30331",33.67086305,-84.49273128,Illegal Removal,Fine,"Removal of three 15"" hickory trees without permit."
12/30/2025,BA-202506355,Arborist Illegal Activity,"1912 LENOX RD NE, ATLANTA GA 30306",33.806995,-84.3511552,Illegal Activity,Fine,"31"" Magnolia tree removed from front yard before permit issuance."
12/29/2025,BA-202506344,Arborist Illegal Activity,"1820 NORTH AVE NW, ATLANTA GA 30318",33.7682319,-84.4464892,Illegal Removal,Fine,"The following three private property trees were removed without permit: one 18"" oak, one 15"" oak, and one 21"" oak."
12/29/2025,BA-202506329,Arborist Illegal Activity,"1340 BERWICK AVE NE, ATLANTA GA 30306",33.791043,-84.3592153,Illegal Activity,Fine,"Tree #10 (13"" Hackberry) and tree #11 (8"" Poplar) removed without permit application, or issuance."
12/26/2025,BA-202506310,Arborist Illegal Activity,"784 SPRINGDALE RD NE, ATLANTA GA 30306",33.7758156,-84.3451571,Illegal Activity,Fine,"9 trees, at 124 diameter inches, removed without permit issuance. The trees include trees # 21, 22, 29, 35, 42, 64, 65, 94, & 95, on the data chart provided with permit number BB-202504597."
12/24/2025,BA-202506307,Arborist Illegal Activity,"994 DONNELLY AVE SW, ATLANTA GA 30310",33.7279016,-84.4197432,Illegal Destruction,Fine,"Destruction of one 28"" sweetgum, due to its structural root plate being severed."
12/23/2025,BA-202506303,Arborist Illegal Activity,"909 COURTENAY DR NE, ATLANTA GA 30306",33.7897217,-84.357308,Illegal Activity,Fine,"Illegal tree destruction. Grading outside of the approved LOD and impacting over 33% of the net root zone of a 17"" Magnolia tree located on the neighboring property (903 Courtenay Dr)."
12/23/2025,BA-202506300,Arborist Illegal Activity,"952 CUMBERLAND RD NE, ATLANTA GA 30306",33.7958915,-84.3560278,Illegal Activity,Fine,"8"" Tree in rear left shown as preserved on the previous approved plan (BB-202202144), has been removed without permit application, or issuance."
